Hereditary chronic pancreatitis,{'Deletion': '7.000000000000001%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Central core disease,{'Deletion': '9.0%', 'Duplication': '6.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '81.0%'}
Steinert myotonic dystrophy,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Rubinstein-Taybi syndrome,{'Deletion': '19.0%', 'Duplication': '7.000000000000001%', 'Indel': '2.0%', 'Insertion': '10.0%', 'Single nucleotide': '61.0%'}
Peutz-Jeghers syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Aicardi syndrome,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Incontinentia pigmenti,{'Deletion': '9.0%', 'Duplication': '28.999999999999996%', 'Indel': '0.0%', 'Insertion': '23.0%', 'Single nucleotide': '40.0%'}
X-linked recessive ocular albinism,{'Deletion': '25.0%', 'Duplication': '12.0%', 'Indel': '0.0%', 'Insertion': '12.0%', 'Single nucleotide': '50.0%'}
Sj�gren-Larsson syndrome,{'Deletion': '16.0%', 'Duplication': '4.0%', 'Indel': '3.0%', 'Insertion': '6.0%', 'Single nucleotide': '72.0%'}
6-pyruvoyl-tetrahydropterin synthase deficiency,{'Deletion': '8.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '89.0%'}
Holt-Oram syndrome,{'Deletion': '14.000000000000002%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '73.0%'}
Barth syndrome,{'Deletion': '8.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '90.0%'}
Autosomal dominant optic atrophy plus syndrome,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Glycine encephalopathy,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '91.0%'}
Medulloblastoma,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Osteosarcoma,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Early-onset generalized limb-onset dystonia,{'Deletion': '9.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '90.0%'}
Adult-onset Still disease,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Hereditary pheochromocytoma-paraganglioma,{'Deletion': '14.000000000000002%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '79.0%'}
Human prion disease,{'Deletion': '27.0%', 'Duplication': '27.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '44.0%'}
Congenital fibrosis of extraocular muscles,{'Deletion': '1.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '94.0%'}
Mucous membrane pemphigoid,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Proximal spinal muscular atrophy type 4,{'Deletion': '1.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '97.0%'}
Hurler-Scheie syndrome,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '82.0%'}
Granulomatosis with polyangiitis,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '90.0%'}
Polymyositis,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Adenocarcinoma of the anal canal,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Huntington disease,{'Deletion': '14.000000000000002%', 'Duplication': '0.0%', 'Indel': '2.0%', 'Insertion': '4.0%', 'Single nucleotide': '80.0%'}
Nijmegen breakage syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Classic homocystinuria,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
Idiopathic pulmonary fibrosis,{'Deletion': '2.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '93.0%'}
Xeroderma pigmentosum,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
Leptospirosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hurler syndrome,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '82.0%'}
Sarcoidosis,{'Deletion': '3.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '88.0%'}
Malaria,{'Deletion': '4.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Listeriosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Common variable immunodeficiency,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Primary hyperoxaluria type 1,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '2.0%', 'Insertion': '6.0%', 'Single nucleotide': '79.0%'}
Pemphigus vulgaris,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hemophilia A,{'Deletion': '14.000000000000002%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '80.0%'}
Pulmonary arterial hypertension associated with congenital heart disease,{'Deletion': '17.0%', 'Duplication': '0.0%', 'Indel': '3.0%', 'Insertion': '3.0%', 'Single nucleotide': '77.0%'}
Mucopolysaccharidosis type 4,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '86.0%'}
Sanfilippo syndrome type C,{'Deletion': '4.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '90.0%'}
Cockayne syndrome,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Legionnaires disease,{'Deletion': '9.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '82.0%'}
Primary sclerosing cholangitis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Aspartylglucosaminuria,{'Deletion': '11.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '85.0%'}
Dentatorubral pallidoluysian atrophy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Menkes disease,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '85.0%'}
Malignant melanoma of the mucosa,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Cleidocranial dysplasia,{'Deletion': '11.0%', 'Duplication': '6.0%', 'Indel': '2.0%', 'Insertion': '8.0%', 'Single nucleotide': '73.0%'}
Pelizaeus-Merzbacher disease,{'Deletion': '9.0%', 'Duplication': '8.0%', 'Indel': '0.0%', 'Insertion': '10.0%', 'Single nucleotide': '71.0%'}
Werner syndrome,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Bardet-Biedl syndrome,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Cryptogenic organizing pneumonia,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Severe combined immunodeficiency due to adenosine deaminase deficiency,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Congenital myasthenic syndrome,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Dysferlin-related  limb-girdle muscular dystrophy R2,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Imerslund-Gr�sbeck syndrome,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Classic galactosemia,{'Deletion': '10.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Neuroendocrine tumor of pancreas,{'Deletion': '3.0%', 'Duplication': '5.0%', 'Indel': '0.0%', 'Insertion': '5.0%', 'Single nucleotide': '87.0%'}
Eisenmenger syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Miller Fisher syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Primary cutaneous T-cell lymphoma,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Classic hairy cell leukemia,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Zollinger-Ellison syndrome,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Cushing syndrome,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Hemophilia B,{'Deletion': '8.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Fabry disease,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Sirenomelia,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Relapsing polychondritis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Stiff person spectrum disorder,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Malignant migrating focal seizures of infancy,{'Deletion': '7.000000000000001%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '93.0%'}
Shigellosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Lymphangioleiomyomatosis,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '80.0%'}
Congenital rubella syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Nephroblastoma,{'Deletion': '14.000000000000002%', 'Duplication': '8.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '76.0%'}
Carbamoyl-phosphate synthetase 1 deficiency,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '90.0%'}
Pemphigoid gestationis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Wiskott-Aldrich syndrome,{'Deletion': '9.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '8.0%', 'Single nucleotide': '77.0%'}
Hyperkalemic periodic paralysis,{'Deletion': '1.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '96.0%'}
Whipple disease,{'Deletion': '9.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '82.0%'}
Foodborne botulism,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Sanfilippo syndrome type B,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '85.0%'}
Q fever,{'Deletion': '12.0%', 'Duplication': '12.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '75.0%'}
Moyamoya disease,{'Deletion': '9.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '86.0%'}
Mucolipidosis type II,{'Deletion': '11.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '76.0%'}
Polyarteritis nodosa,{'Deletion': '6.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Late infantile neuronal ceroid lipofuscinosis,{'Deletion': '10.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '5.0%', 'Single nucleotide': '80.0%'}
Mucopolysaccharidosis type 6,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '85.0%'}
Choroid plexus carcinoma,{'Deletion': '8.0%', 'Duplication': '8.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '81.0%'}
Primary hyperoxaluria,{'Deletion': '12.0%', 'Duplication': '4.0%', 'Indel': '2.0%', 'Insertion': '6.0%', 'Single nucleotide': '76.0%'}
Andersen-Tawil syndrome,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Severe congenital neutropenia,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '88.0%'}
Hemorrhagic fever-renal syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
West-Nile encephalitis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Alpha-mannosidosis,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Metatropic dysplasia,{'Deletion': '3.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '96.0%'}
Proximal Xq28 duplication syndrome,{'Deletion': '0.0%', 'Duplication': '60.0%', 'Indel': '0.0%', 'Insertion': '40.0%', 'Single nucleotide': '0.0%'}
Alpers-Huttenlocher syndrome,{'Deletion': '4.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '89.0%'}
Ehrlichiosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Atypical coarctation of aorta,{'Deletion': '25.0%', 'Duplication': '75.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '0.0%'}
Scedosporiosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Lambert-Eaton myasthenic syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Enteropathy-associated T-cell lymphoma,{'Deletion': '33.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '67.0%'}
Western equine encephalitis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Syndromic diarrhea,{'Deletion': '3.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '96.0%'}
Scheie syndrome,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '82.0%'}
Becker muscular dystrophy,{'Deletion': '18.0%', 'Duplication': '8.0%', 'Indel': '0.0%', 'Insertion': '8.0%', 'Single nucleotide': '66.0%'}
Severe generalized junctional epidermolysis bullosa,{'Deletion': '10.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Gorlin syndrome,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Neuromyelitis optica spectrum disorder,{'Deletion': '11.0%', 'Duplication': '7.000000000000001%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '77.0%'}
Malignant sex cord stromal tumor of ovary,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
X-linked agammaglobulinemia,{'Deletion': '11.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '5.0%', 'Single nucleotide': '80.0%'}
Agammaglobulinemia,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
American trypanosomiasis,{'Deletion': '7.000000000000001%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
Chikungunya,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Squamous cell carcinoma of the rectum,{'Deletion': '12.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '88.0%'}
Kaposi sarcoma,{'Deletion': '0.0%', 'Duplication': '20.0%', 'Indel': '0.0%', 'Insertion': '20.0%', 'Single nucleotide': '60.0%'}
Fucosidosis,{'Deletion': '14.000000000000002%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '86.0%'}
Alveolar echinococcosis,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '91.0%'}
Seckel syndrome,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Campomelic dysplasia,{'Deletion': '12.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '79.0%'}
Fetal akinesia deformation sequence,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Bartsocas-Papas syndrome,{'Deletion': '0.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '98.0%'}
17q12 microdeletion syndrome,{'Deletion': '100.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '0.0%'}
Diprosopus,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Double outlet left ventricle,{'Deletion': '21.0%', 'Duplication': '7.000000000000001%', 'Indel': '0.0%', 'Insertion': '5.0%', 'Single nucleotide': '67.0%'}
Beta-sarcoglycan-related  limb-girdle muscular dystrophy R4,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Walker-Warburg syndrome,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Diphyllobothriasis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Uveal melanoma,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
Pediatric hepatocellular carcinoma,{'Deletion': '13.0%', 'Duplication': '7.000000000000001%', 'Indel': '0.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '73.0%'}
X-linked dystonia-parkinsonism,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '25.0%', 'Single nucleotide': '75.0%'}
Aceruloplasminemia,{'Deletion': '8.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '85.0%'}
Acute intermittent porphyria,{'Deletion': '12.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '78.0%'}
Squamous cell carcinoma of the stomach,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '98.0%'}
Budd-Chiari syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '98.0%'}
Porphyria variegata,{'Deletion': '40.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '60.0%'}
Eosinophilic granulomatosis with polyangiitis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Tularemia,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Undifferentiated carcinoma of stomach,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Bethlem myopathy,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '94.0%'}
Anaplastic oligodendroglioma,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
17q12 microduplication syndrome,{'Deletion': '0.0%', 'Duplication': '100.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '0.0%'}
Acute generalized exanthematous pustulosis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Free sialic acid storage disease, infantile form,{'Deletion': '5.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '94.0%'}
Adamantinoma,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Sympathetic ophthalmia,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Niemann-Pick disease type A,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '79.0%'}
Squamous cell carcinoma of the corpus uteri,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Argininemia,{'Deletion': '12.0%', 'Duplication': '6.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '77.0%'}
Congenital generalized lipodystrophy,{'Deletion': '7.000000000000001%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Linear IgA dermatosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Nodular lymphocyte predominant Hodgkin lymphoma,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Autosomal erythropoietic protoporphyria,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '88.0%'}
Metaplastic carcinoma of the breast,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
